?јдр,«нчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,јдр,«нчн
194,A1A2,194,0000,000,0000,000,0000,0000,004,0100
194,A1A2,195,A1A2,1A2,21A3,000,0194,21A3,000,0000
195,31A0,196,31A0,1A0,21A3,000,DE5C,21A3,000,0000
196,E1A3,197,E1A3,1A3,21A3,000,0196,21A3,000,0000,1A3,21A3
197,0200,198,0200,197,0200,000,0197,0000,004,0100
198,419F,199,419F,19F,0200,000,0198,0200,000,0000
199,41A3,19A,41A3,1A3,21A3,000,0199,23A3,000,0000
19A,E1A3,19B,E1A3,1A3,23A3,000,019A,23A3,000,0000,1A3,23A3
19B,A1A1,19C,A1A1,1A1,419F,000,019B,419F,000,0000
19C,21A3,19D,21A3,1A3,23A3,000,019C,0183,000,0000
19D,E1A4,19E,E1A4,1A4,0183,000,019D,0183,000,0000,1A4,0183
19E,0100,19F,0100,19E,0100,000,019E,0183,000,0000
