?���,����,IP,CR,AR,DR,SP,BR,AC,PS
20F,0200,20F,0000,000,0000,000,0000,0000,004,0100
20F,0200,210,0200,20F,0200,000,020F,0000,004,0100
210,0200,211,0200,210,0200,000,0210,0000,004,0100
211,4000,212,4000,000,0000,000,0211,0000,004,0100
212,0200,213,0200,212,0200,000,0212,0000,004,0100
213,AF40,214,AF40,213,0040,000,0040,0040,000,0000
214,0680,215,0680,214,0680,000,0214,4000,000,0000
215,0500,216,0500,215,4000,000,0215,8000,00A,1010
216,EEFB,217,EEFB,212,8000,000,FFFB,8000,00A,1010,212,8000
217,AF05,218,AF05,217,0005,000,0005,0005,000,0000
218,EEF8,219,EEF8,211,0005,000,FFF8,0005,000,0000,211,0005
219,AEF5,21A,AEF5,20F,0200,000,FFF5,0200,000,0000
21A,EEF5,21B,EEF5,210,0200,000,FFF5,0200,000,0000,210,0200
21B,AAF4,21C,AAF4,200,0013,000,FFF4,0013,000,0000,210,0201
21C,F303,220,F303,21C,F303,000,0003,0013,000,0000
220,8211,221,8211,211,0004,000,0003,0013,000,0000,211,0004
221,CEF9,21B,CEF9,221,021B,000,FFF9,0013,000,0000
21B,AAF4,21C,AAF4,201,FFD4,000,FFF4,FFD4,008,1000,210,0202
21C,F303,21D,F303,21C,F303,000,021C,FFD4,008,1000
21D,7EF4,21E,7EF4,212,8000,000,FFF4,FFD4,001,0001
21E,F801,21F,F801,21E,F801,000,021E,FFD4,001,0001
21F,EEF2,220,EEF2,212,FFD4,000,FFF2,FFD4,001,0001,212,FFD4
220,8211,221,8211,211,0003,000,0002,FFD4,001,0001,211,0003
221,CEF9,21B,CEF9,221,021B,000,FFF9,FFD4,001,0001
21B,AAF4,21C,AAF4,202,FFF9,000,FFF4,FFF9,009,1001,210,0203
21C,F303,21D,F303,21C,F303,000,021C,FFF9,009,1001
21D,7EF4,21E,7EF4,212,FFD4,000,FFF4,FFF9,001,0001
21E,F801,21F,F801,21E,F801,000,021E,FFF9,001,0001
21F,EEF2,220,EEF2,212,FFF9,000,FFF2,FFF9,001,0001,212,FFF9
220,8211,221,8211,211,0002,000,0001,FFF9,001,0001,211,0002
221,CEF9,21B,CEF9,221,021B,000,FFF9,FFF9,001,0001
21B,AAF4,21C,AAF4,203,0000,000,FFF4,0000,005,0101,210,0204
21C,F303,220,F303,21C,F303,000,0003,0000,005,0101
220,8211,221,8211,211,0001,000,0000,0000,005,0101,211,0001
221,CEF9,21B,CEF9,221,021B,000,FFF9,0000,005,0101
21B,AAF4,21C,AAF4,204,0000,000,FFF4,0000,005,0101,210,0205
21C,F303,220,F303,21C,F303,000,0003,0000,005,0101
220,8211,222,8211,211,0000,000,FFFF,0000,005,0101,211,0000
222,0100,223,0100,222,0100,000,0222,0000,005,0101
