SPFB.RTS-12.18,1,10/09/18,10:01,103750.0000000,103900.0000000,103680.0000000,103900.0000000,19	103750.00000	103750,00000	103750	1		10/09/18 открытие	10/09/18 закрытие	10.09.2018 мин	10.09.2018 макс	10/10/18 открытие	10/10/18 закрытие	10/10/18 мин	 10/10/18 макс	08/11/18 открытие	08/11/18 закрытие	08/11/18 мин	08/11/18 макс	08/12/18 открытие	08/12/18 закрытие	08.12.2018 мин	08.12.2018 макс
SPFB.RTS-12.18,1,10/09/18,10:02,103840.0000000,104120.0000000,103840.0000000,104120.0000000,46	103840.00000	103840,00000	103840			103750	102960	102960	116440	116080	112180	112070	116440	115980	113870	113580	116520	112990	113000	112430	115340
SPFB.RTS-12.18,1,10/09/18,10:03,104030.0000000,104030.0000000,103970.0000000,103970.0000000,6	104030.00000	104030,00000	104030																		
SPFB.RTS-12.18,1,10/09/18,10:04,103980.0000000,104000.0000000,103980.0000000,104000.0000000,29	103980.00000	103980,00000	103980																		
SPFB.RTS-12.18,1,10/09/18,10:05,104010.0000000,104220.0000000,104010.0000000,104220.0000000,37	104010.00000	104010,00000	104010																		
SPFB.RTS-12.18,1,10/09/18,10:06,104150.0000000,104150.0000000,104050.0000000,104050.0000000,26	104150.00000	104150,00000	104150			10/09/18 открытие	103750														
SPFB.RTS-12.18,1,10/09/18,10:07,104160.0000000,104200.0000000,104160.0000000,104200.0000000,2	104160.00000	104160,00000	104160			10/09/18 закрытие	102960														
SPFB.RTS-12.18,1,10/09/18,10:08,104200.0000000,104250.0000000,104190.0000000,104230.0000000,14	104200.00000	104200,00000	104200			10.09.2018 мин	102960														
SPFB.RTS-12.18,1,10/09/18,10:09,104200.0000000,104200.0000000,104140.0000000,104140.0000000,4	104200.00000	104200,00000	104200			10.09.2018 макс	116440														
SPFB.RTS-12.18,1,10/09/18,10:10,104150.0000000,104290.0000000,104150.0000000,104220.0000000,19	104150.00000	104150,00000	104150			10/10/18 открытие	116080														
SPFB.RTS-12.18,1,10/09/18,10:11,104210.0000000,104210.0000000,104150.0000000,104150.0000000,8	104210.00000	104210,00000	104210			10/10/18 закрытие	112180														
SPFB.RTS-12.18,1,10/09/18,10:12,104190.0000000,104220.0000000,104190.0000000,104200.0000000,12	104190.00000	104190,00000	104190																		
SPFB.RTS-12.18,1,10/09/18,10:13,104150.0000000,104150.0000000,104130.0000000,104130.0000000,36	104150.00000	104150,00000	104150																		
SPFB.RTS-12.18,1,10/09/18,10:14,104120.0000000,104120.0000000,104060.0000000,104060.0000000,138	104120.00000	104120,00000	104120																		
SPFB.RTS-12.18,1,10/09/18,10:15,104140.0000000,104150.0000000,104100.0000000,104120.0000000,6	104140.00000	104140,00000	104140																		
SPFB.RTS-12.18,1,10/09/18,10:16,104150.0000000,104150.0000000,104060.0000000,104060.0000000,158	104150.00000	104150,00000	104150																		
SPFB.RTS-12.18,1,10/09/18,10:17,104060.0000000,104120.0000000,104040.0000000,104120.0000000,45	104060.00000	104060,00000	104060																		
SPFB.RTS-12.18,1,10/09/18,10:18,104100.0000000,104120.0000000,104090.0000000,104110.0000000,6	104100.00000	104100,00000	104100																		
SPFB.RTS-12.18,1,10/09/18,10:19,104140.0000000,104140.0000000,104090.0000000,104120.0000000,7	104140.00000	104140,00000	104140																		
SPFB.RTS-12.18,1,10/09/18,10:20,104070.0000000,104070.0000000,104070.0000000,104070.0000000,4	104070.00000	104070,00000	104070																		
SPFB.RTS-12.18,1,10/09/18,10:21,104100.0000000,104130.0000000,104100.0000000,104100.0000000,103	104100.00000	104100,00000	104100																		
SPFB.RTS-12.18,1,10/09/18,10:23,104050.0000000,104080.0000000,104040.0000000,104080.0000000,14	104050.00000	104050,00000	104050																		
SPFB.RTS-12.18,1,10/09/18,10:24,104050.0000000,104100.0000000,104050.0000000,104100.0000000,19	104050.00000	104050,00000	104050																		
SPFB.RTS-12.18,1,10/09/18,10:25,104120.0000000,104170.0000000,104120.0000000,104160.0000000,19	104120.00000	104120,00000	104120																		
SPFB.RTS-12.18,1,10/09/18,10:26,104160.0000000,104160.0000000,104160.0000000,104160.0000000,1	104160.00000	104160,00000	104160																		
SPFB.RTS-12.18,1,10/09/18,10:27,104080.0000000,104170.0000000,104040.0000000,104050.0000000,63	104080.00000	104080,00000	104080																		
SPFB.RTS-12.18,1,10/09/18,10:28,104070.0000000,104100.0000000,104070.0000000,104070.0000000,21	104070.00000	104070,00000	104070																		
SPFB.RTS-12.18,1,10/09/18,10:29,104140.0000000,104160.0000000,104120.0000000,104160.0000000,14	104140.00000	104140,00000	104140																		
SPFB.RTS-12.18,1,10/09/18,10:30,104200.0000000,104200.0000000,104200.0000000,104200.0000000,1	104200.00000	104200,00000	104200																		
SPFB.RTS-12.18,1,10/09/18,10:31,104210.0000000,104210.0000000,104180.0000000,104180.0000000,6	104210.00000	104210,00000	104210																		
SPFB.RTS-12.18,1,10/09/18,10:33,104110.0000000,104140.0000000,104050.0000000,104140.0000000,29	104110.00000	104110,00000	104110																		
SPFB.RTS-12.18,1,10/09/18,10:34,104170.0000000,104200.0000000,104130.0000000,104130.0000000,30	104170.00000	104170,00000	104170																		
SPFB.RTS-12.18,1,10/09/18,10:35,104150.0000000,104160.0000000,104140.0000000,104150.0000000,35	104150.00000	104150,00000	104150																		
SPFB.RTS-12.18,1,10/09/18,10:36,104090.0000000,104110.0000000,104040.0000000,104040.0000000,6	104090.00000	104090,00000	104090																		
SPFB.RTS-12.18,1,10/09/18,10:37,104130.0000000,104150.0000000,104130.0000000,104150.0000000,2	104130.00000	104130,00000	104130																		
SPFB.RTS-12.18,1,10/09/18,10:38,104130.0000000,104130.0000000,104130.0000000,104130.0000000,50	104130.00000	104130,00000	104130																		
SPFB.RTS-12.18,1,10/09/18,10:39,104160.0000000,104180.0000000,104160.0000000,104180.0000000,5	104160.00000	104160,00000	104160																		
SPFB.RTS-12.18,1,10/09/18,10:41,104190.0000000,104200.0000000,104060.0000000,104060.0000000,13	104190.00000	104190,00000	104190																		
SPFB.RTS-12.18,1,10/09/18,10:42,104060.0000000,104130.0000000,104030.0000000,104130.0000000,49	104060.00000	104060,00000	104060																		
SPFB.RTS-12.18,1,10/09/18,10:43,104130.0000000,104130.0000000,104050.0000000,104050.0000000,100	104130.00000	104130,00000	104130																		
SPFB.RTS-12.18,1,10/09/18,10:44,104030.0000000,104100.0000000,104030.0000000,104100.0000000,27	104030.00000	104030,00000	104030																		
SPFB.RTS-12.18,1,10/09/18,10:45,104160.0000000,104160.0000000,104110.0000000,104110.0000000,5	104160.00000	104160,00000	104160																		
SPFB.RTS-12.18,1,10/09/18,10:46,104130.0000000,104130.0000000,104130.0000000,104130.0000000,1	104130.00000	104130,00000	104130																		
SPFB.RTS-12.18,1,10/09/18,10:48,104080.0000000,104080.0000000,104050.0000000,104050.0000000,90	104080.00000	104080,00000	104080																		
SPFB.RTS-12.18,1,10/09/18,10:49,104100.0000000,104110.0000000,104100.0000000,104110.0000000,6	104100.00000	104100,00000	104100																		
SPFB.RTS-12.18,1,10/09/18,10:50,104090.0000000,104130.0000000,104080.0000000,104110.0000000,57	104090.00000	104090,00000	104090																		
SPFB.RTS-12.18,1,10/09/18,10:51,104130.0000000,104130.0000000,104060.0000000,104090.0000000,18	104130.00000	104130,00000	104130																		
SPFB.RTS-12.18,1,10/09/18,10:52,104060.0000000,104070.0000000,104000.0000000,104060.0000000,282	104060.00000	104060,00000	104060																		
SPFB.RTS-12.18,1,10/09/18,10:53,104030.0000000,104030.0000000,103900.0000000,103900.0000000,29	104030.00000	104030,00000	104030																		
SPFB.RTS-12.18,1,10/09/18,10:54,103950.0000000,103960.0000000,103900.0000000,103930.0000000,27	103950.00000	103950,00000	103950																		
SPFB.RTS-12.18,1,10/09/18,10:55,103960.0000000,103960.0000000,103950.0000000,103950.0000000,3	103960.00000	103960,00000	103960																		
SPFB.RTS-12.18,1,10/09/18,10:56,103980.0000000,103980.0000000,103980.0000000,103980.0000000,1	103980.00000	103980,00000	103980																		
SPFB.RTS-12.18,1,10/09/18,10:57,103970.0000000,103970.0000000,103970.0000000,103970.0000000,2	103970.00000	103970,00000	103970																		
SPFB.RTS-12.18,1,10/09/18,10:59,104020.0000000,104020.0000000,104000.0000000,104000.0000000,7	104020.00000	104020,00000	104020																		
SPFB.RTS-12.18,1,10/09/18,11:00,103970.0000000,104000.0000000,103970.0000000,103980.0000000,42	103970.00000	103970,00000	103970																		
SPFB.RTS-12.18,1,10/09/18,11:01,103970.0000000,104050.0000000,103970.0000000,104050.0000000,22	103970.00000	103970,00000	103970																		
SPFB.RTS-12.18,1,10/09/18,11:02,104060.0000000,104080.0000000,104060.0000000,104080.0000000,44	104060.00000	104060,00000	104060																		
SPFB.RTS-12.18,1,10/09/18,11:03,104050.0000000,104060.0000000,104050.0000000,104060.0000000,4	104050.00000	104050,00000	104050																		
SPFB.RTS-12.18,1,10/09/18,11:05,104000.0000000,104020.0000000,104000.0000000,104020.0000000,6	104000.00000	104000,00000	104000																		
SPFB.RTS-12.18,1,10/09/18,11:06,104000.0000000,104000.0000000,104000.0000000,104000.0000000,4	104000.00000	104000,00000	104000																		
