<TICKER>,<PER>,<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB-RTS-12-18,1,03-09-2018,107900,108060,107900,108030,3
SPFB-RTS-12-18,1,04-09-2018,107580,107580,107540,107540,6
SPFB-RTS-12-18,1,05-09-2018,106550,106550,106040,106270,17
SPFB-RTS-12-18,1,06-09-2018,106200,106200,105820,105920,42
SPFB-RTS-12-18,1,07-09-2018,104750,104900,104750,104880,29
SPFB-RTS-12-18,1,10-09-2018,103750,103900,103680,103900,19
SPFB-RTS-12-18,1,11-09-2018,103300,104000,103300,103730,159
SPFB-RTS-12-18,1,12-09-2018,104910,105080,104750,104840,174
SPFB-RTS-12-18,1,13-09-2018,105890,106450,105890,106350,47
SPFB-RTS-12-18,1,14-09-2018,107290,107770,107290,107720,137
SPFB-RTS-12-18,1,17-09-2018,108230,108380,108000,108110,124
SPFB-RTS-12-18,1,18-09-2018,108440,109200,108440,109130,1829
SPFB-RTS-12-18,1,19-09-2018,110590,111090,110590,111070,1196
SPFB-RTS-12-18,1,20-09-2018,112090,112730,111950,112390,3190
SPFB-RTS-12-18,1,21-09-2018,112690,112780,112470,112580,2101
SPFB-RTS-12-18,1,24-09-2018,113640,115200,113640,114380,8451
SPFB-RTS-12-18,1,25-09-2018,115350,115740,115320,115540,3063
SPFB-RTS-12-18,1,26-09-2018,115560,115950,115410,115750,4070
SPFB-RTS-12-18,1,27-09-2018,114280,114710,114200,114580,3486
SPFB-RTS-12-18,1,28-09-2018,116980,117260,116760,117160,4141
SPFB-RTS-12-18,1,01-10-2018,117740,118290,117650,118160,3187
SPFB-RTS-12-18,1,02-10-2018,119190,119190,118670,118730,4223
SPFB-RTS-12-18,1,03-10-2018,117000,117640,117000,117500,5760
SPFB-RTS-12-18,1,04-10-2018,117890,117890,117140,117230,6021
SPFB-RTS-12-18,1,05-10-2018,114310,115030,114310,114980,5957
SPFB-RTS-12-18,1,08-10-2018,116270,116270,115030,115120,6720
SPFB-RTS-12-18,1,09-10-2018,116090,116760,116090,116500,6193
SPFB-RTS-12-18,1,10-10-2018,116080,116480,116080,116340,2971
SPFB-RTS-12-18,1,11-10-2018,112130,112230,111340,111370,11118
SPFB-RTS-12-18,1,12-10-2018,113030,114060,113030,113820,14203
SPFB-RTS-12-18,1,15-10-2018,115180,115720,115180,115390,4843
SPFB-RTS-12-18,1,16-10-2018,114540,115140,114540,114890,3290
SPFB-RTS-12-18,1,17-10-2018,117280,117690,116990,117100,5874
SPFB-RTS-12-18,1,18-10-2018,115740,115740,115110,115210,5091
SPFB-RTS-12-18,1,19-10-2018,113540,114270,113540,114050,8272
SPFB-RTS-12-18,1,22-10-2018,112650,113380,112650,113290,3921
SPFB-RTS-12-18,1,23-10-2018,111650,111650,110500,110630,9573
SPFB-RTS-12-18,1,24-10-2018,111790,112050,111490,111910,3754
SPFB-RTS-12-18,1,25-10-2018,111070,111420,111070,111160,5211
SPFB-RTS-12-18,1,26-10-2018,111760,111760,111020,111070,6982
SPFB-RTS-12-18,1,29-10-2018,109720,109720,109200,109360,2943
SPFB-RTS-12-18,1,30-10-2018,109750,110490,109750,110170,5029
SPFB-RTS-12-18,1,31-10-2018,111000,111210,111000,111110,2498
SPFB-RTS-12-18,1,01-11-2018,112090,112460,112090,112300,2983
SPFB-RTS-12-18,1,02-11-2018,112940,113720,112940,113620,7475
SPFB-RTS-12-18,1,06-11-2018,113400,113980,113400,113800,3784
SPFB-RTS-12-18,1,07-11-2018,114650,114880,114300,114390,4180
SPFB-RTS-12-18,1,08-11-2018,115980,116350,115980,116090,2845
SPFB-RTS-12-18,1,09-11-2018,113830,114050,113790,113850,2037
SPFB-RTS-12-18,1,12-11-2018,111190,112360,111190,112330,8000
SPFB-RTS-12-18,1,13-11-2018,110480,110680,110480,110660,1567
SPFB-RTS-12-18,1,14-11-2018,109390,109600,108960,109000,4235
SPFB-RTS-12-18,1,15-11-2018,111880,112180,111880,112110,3522
SPFB-RTS-12-18,1,16-11-2018,113750,114160,113750,113920,3553
SPFB-RTS-12-18,1,19-11-2018,113360,113530,113200,113310,4115
SPFB-RTS-12-18,1,20-11-2018,113560,113560,113010,113190,4738
SPFB-RTS-12-18,1,21-11-2018,110310,111340,110310,111310,5910
SPFB-RTS-12-18,1,22-11-2018,112920,113300,112870,113230,3111
SPFB-RTS-12-18,1,23-11-2018,113450,113450,112880,112890,5411
SPFB-RTS-12-18,1,26-11-2018,111280,111280,110450,110550,9762
SPFB-RTS-12-18,1,27-11-2018,108380,109340,108130,109300,8790
SPFB-RTS-12-18,1,28-11-2018,109590,110300,109590,110280,5580
SPFB-RTS-12-18,1,29-11-2018,112700,112930,112530,112730,3835
SPFB-RTS-12-18,1,30-11-2018,113770,113770,113270,113440,4565
SPFB-RTS-12-18,1,03-12-2018,112120,117390,112120,115820,24019
SPFB-RTS-12-18,1,04-12-2018,115150,115470,114920,115170,4389
SPFB-RTS-12-18,1,05-12-2018,113460,113540,113030,113180,4779
SPFB-RTS-12-18,1,06-12-2018,114930,114930,113820,114000,8670
SPFB-RTS-12-18,1,07-12-2018,113720,113720,113070,113260,4644
SPFB-RTS-12-18,1,10-12-2018,114440,114850,114000,114620,8932
SPFB-RTS-12-18,1,11-12-2018,113040,113420,113040,113290,3818
SPFB-RTS-12-18,1,12-12-2018,112800,113480,112800,113220,5004
SPFB-RTS-12-18,1,13-12-2018,112220,112640,112220,112280,2730
SPFB-RTS-12-18,1,14-12-2018,112880,112880,112040,112300,7006
SPFB-RTS-12-18,1,17-12-2018,110760,111140,110760,111020,2705
SPFB-RTS-12-18,1,18-12-2018,110080,110250,109570,109820,4505
SPFB-RTS-12-18,1,19-12-2018,109030,109480,108940,109330,2339
SPFB-RTS-12-18,1,20-12-2018,108550,108780,108210,108500,2082
